ID,Title,Authors,Source Title,Publication Year,Volume,Issue,Supplement ,Beginning Page,Ending Page,DOI,Total Citations,Conference Title,Conference Date ,Exclude (y/n),Plant genotype origin,Continent,latitude,longitude,Site 1,Site 2,Site 3,Site 4,Site 5,Site 6,Ecosystem,type of experiment,method primary,method secondary,hypothesis,secondary hypothesis,comments,Replicates ,Fitness measured (y/n),Proxy
11,Bioactivity guided isolation of antiproliferative sesquiterpene lactones from Centaurea solstitialis L. ssp sosltitialis ,"Erenler, Ramazan; Sen, Ozkan; Sahin Yaglioglu, Ayse; Demirtas, Ibrahim",Combinatorial Chemistry and High throughput Screening ,2016,19,1,,66,72,10.2174/1386207319666151203002117,0,,,,Turkey,Eurasia,,,"Gaziosmanpasa University, Department of Chemistry, Tokat ",,,,,,laboratory,manipulative,ex situ/in vitro,"flowers, stems and root extracts, chromatographic isolation of active compounds, determine the structure of sesquiterpene lactones (spectroscopically), bioassays",anticancer activity,,The isolated SLs exhibited significant anticancer activities against HeLa and C6 cell lines in different concentrations. The stem extract was preferred for bioassay-guided isolation due to the highest activity. The isolated SLs exhibited high activities even in lower concentrations (from 75 µg/mL to 5 µg/mL) for C6 cell lines.,,n,
12,Reduced mycorrhizal responsiveness leads to increased competitive tolerance in an invasive exotic plant ,"Waller, Lauren P; Callaway, Ragan M; Klironomos, John N; Ortega, Yvette K",Journal of Ecology,2016,104,6,,1599,1607,10.1111/1365-2745.12641,0,,,,"Georgia, Hungary, USA, Romania, Turkey","North America, Europe, Eurasia",,,University of Montana campus in Missoula ,,,,,,common garden,manipulative,ex situ,"harvesting, weighting, measuring AM fungal colonization (standard grid line interrsect method), modified RII",interactions,competition,"Centaurea solstitialis were more strongly suppressed by established S. pulchra plants in the presence versus absence of AM fungi, but exotic genotypes were less suppressed than native genotypes. This suggests that AM fungi may contribute to invasion resistance in established native communities, but range-based shifts in the way exotic genotypes respond to AM fungal partners may counter such biotic resistance.",10,y,biomass
13,Chromosomes report from plants that grow in Chile,"Baeza, Carlos M; Penailillo, P; Novoa, Patricio; Rosas, Marcelo; Finot, Victor L; Ruiz, Eduardo ",Gayana Botanica,2016,73,2,,183,189,10.4067/S0717-66432016000200183,0,,,In Spanish,Chile,South America,,,"Universidad de Concepci—n, Chile",,,,,,laboratory,manipulative,ex situ,"chromosome preparation,  chromosome visualization and counting, chromosome imaging (video camera atached to microscope)",chromosome number,,"Centaurea solstitialis (2n = 16),   plant material collected from Regi—n Metropolitana, Prov. de Santiago, Maipœ",,n,
14,Centaurea solstitialis and Silybum marianum weeds conversion into value added thermoplastic materials by benzylation process ,"Uner, Birol; Dorak, Sinem; Ismailoglu, Yusun; Zakir Tufan M; Kurul, Fatih; Umit Yalcin, Omer",Iranian Polymer Journal,2016,25,1,,37,43,10.1007/s13726-015-0396-2,0,,,,Turkey,Eurasia,,,"Suleyman Demirel University, Isparta",,,,,,laboratory,manipulative,ex situ,"plant collection, grounding, crystallinity index, thermogravimetric analyse of etherified samples",thermoplastics,weed management,Conversion on weedy herbaceous plants into value added thermoplastics by means of benzylation. Thermogravimetric analysis revealed that modified products were characterized by poorer thermal stability compared to raw materials. Deformed crystallinity of the materials reduced significantly the decomposition temperature and the reduction of decomposition temperature was between 60 and 100 ¡C.,,n,
15,In field yellow star thistle (Centaurea solstitialis) volatile composition under elevated temperature and CO2 and implications for future control,"Oster, Marina; Beck John J; Furrow Robert E; Yeung, Kara; Field, Christopher B",Chemoecology,2015,25,6,,313,323,10.1007/s00049-015-0200-y,1,,,,USA,North America,37.40524 N,-122.2421,"Department of Biology, Stanford University, California ",Jasper Ridge Biological Preserve of Stanford University ,,,,,greenhouse/grasslands,manipulative,ex situ/in situ,"puncturing,  leaf volatile collection, solid phase microextraction needle, compound identification",plant signalling ,defense,The in situ volatile emission proÞle of damaged C. solstitialis comprised 14 compounds of which 13 were sesquiterpenes (incl. two unidentiÞed) and one was an alkene. ,,y,leaves volatiles (indirect effect on plant fitness)
16,In field volatile analysis employing a hand held portable GC-MS: emission profiles differentiate damaged and undamaged yellow starthistle flower heads ,"Beck, John J; Porter, Nathan, Cook, Daniel; Gee, Wai S; Griffith, Corey M; Rands, Anthony D; Truong Tai V; Smith, Lincoln, San Roman Itxaso",Phytochemical Analysis,2015,26,6,,395,403,10.1002/pcs.2573,3,,,,USA,North America,,,"Albany, California","Briones regional park, Martinez, California (37¡928710N,  122¡151645W)",,,,,outdoor table/grasslands,manipulative,ex situ/in situ,"volatile collection via portable GC-MS system, compound identification",plant signalling ,,Damaged/un damaged flower heads volatiles. The portable GC-MS system detected 31 volatiles from the four treatments. Each GC-MS run was completed in less than 3 min. PCA showed four distinct clusters representing the four treatments damaged and undamaged potted plant and damaged and undamaged natural plant. Damage specific volatiles were identified. ,8 (potted) 6 (natural),y,flower heads volatiles (indirect effect on fitness)
17,Introducing cattle grazing to a noxious weed dominated rangeland shifts plant communities,"Davy, Josh D; Roche, Leslie M; Robertson, Alexis V; Nay, Dennis E; Tate, Kenneth W",California Agriculture,2015,69,4,,1,7,10.3733/ca.v069n04p230,1,,,,USA,North America,,,"Bear Creek Unit, California",,,,,,"patch mosaic of grasslands, blue oak woodlands and serpentine chaparral",manipulative,in situ,"plant community surveys, visual estimation of plant composition, liniar mixed effects regression to examine trends in species cover ",cow grazing efficiency ,plant comunity composition,"Prescribed grazing applied to Bear Creek unit did not impact yellow starthistle cover. Trends in basal cover of yellow starthistle did not significantly differ between grazed and ungrazed treatments, with no significant changes in yellow starthistle cover for either treatment between baseline and final evaluations. ",,n,
18,Inter-regional variation on leaf defenses in native and non-native Centaurea solstitialis plants,"Sotes, Gastion J; Cavieres, Lohengrin A; Montesinos D; Pereira Antonio Xavier; Pelaez, Walter Jose; Lopes Susana MM; Pinho e Melo, TMVD",Biochemical Systematics and Ecology,2015,62,,,208,218,10.1016/j.bse.2015.09.003,1,,,,"Spain, Turkey, USA, Chile","Europe, Eursia, North America, South America",,,University of Coimbra botanical garden,,,,,,growth chamber/common garden,manipulative,ex situ,"epicuticular extracts, leaf surface microscopy (light, SEM), compound identification, estimate gland density ",shifting defense hypothesis ,chemical defense,"Across regions, the main chemical components were sesquiterpene lactones, similar densities of sessile glandular trichomes and a variable number of large multicellular trichomes.",,y,"trichomes density, sesquiterpene lactone "
19,Duration of emission of volatile organic compounds from mechanically damaged plant leaves,"Smith, Lincoln; Beck, John L",Journal of Plant Physiology,2015,188,,,19,28,10.1016/j.jplph.2015.08.003,0,,,,USA,North America,,,"USDA Agricultural Research Service, Albany",,,,,,outdoor pots,manipulative,ex situ,"volatile collection (solid phase micro-extraction), GC-MS analysis, volatile identification",chemical defense,,Damage caused an immediate increase of 200 to 600% in the composition of volatile organic compounds emmitted from each plant species and the amounts generally remained high for at least 48 h. ,2,y,leaves volatiles (indirect effect on fitness)
20,Evolution of invasiveness through increased resource use in a vacant niche ,Dlugosch Katrina M; Cang Alice F; Barker Brittany S; Andonian Krikor; Swope Sarah M; Rieseberg Loren H,Nature Plants,2015,1,6,,15066,,10.1038/nplants.2015.66,3,,,,"Armenia, Bulgaria, France, Greece, Hungary, Romania, Spain, Turkey, USA","Eurasia, Europe, North America",,,"University of Arizona, Tucson",,,,,,common glasshouse,manipulative,ex situ,"quantify isotope ratio of leaf tissues, monitoring, germination counts, measurments, harvesting, drying, weighting",vacant niche ,resource use,Invading genotypes show a shift towards larger size and increased reproduction that is uncharacteristic of similar environments in the native range. This high fitness life history was gained at the expense of increased demand for the limiting resource of water in the invasion. ,,y,"plant size, leaf, root and shoot biomass, capitula"
21,Changes in weed communities of spring wheat crops of Buenos Aires province of Argentina ,"Scursoni Julio A; Gigon, Ramon; Martin Andres N; Vigna Mario; Leguizamon Eduardo S; Istilart Carolina, Lopez Ricardo",Weed Science,2015,62,1,,51,62,10.1614/WS-D-12-00141.1,2,,,,Argentina,South America,,,SW and SE of southern Buenos Aires province,197 fields sampled in the SE,176 within the SW area ,,,,agricultural,observational,in situ,"visual weed survey, species record, quadrat sampling",weed community changes,evolution,Yellow starthistle was related to the SW with low rainfall and sandy soils. It was not observed in humid areas.,,n,
22,The potential medicinal value of plants from Asteraceae family with antioxidant defense enzymes as biological targets,"Koc, Suheda; Isgor, Belgin S; Isgor, Yasemin G; Moghaddam, Naznoosh Shomali; Yildirim, Ozlem",Pharmaceutical Biology,2015,52,5,,746,751,10.3109/13880209.2014.942788 ,0,,,,Turkey,Eurasia,,,"Department of Biology, Kastamonu University",,,,,,laboratory,manipulative,ex situ,"plant collection, flowers and leaves extracts, determination of total phenolic content (Folin Ciocalteu assay), determination of total flavonoid content (aluminium chloride colorimetric method), DPPH assay, inhibition of GST, GPx and CAT",antioxidant defense ,total phenolic and flavonoid content ,Flower extracts of C. solstitialis which were obtained from acetone exhibited a good inhibition effect on GST and GPx enzymes. ,,n,
23,Dispersal pathways and genetic differentiation among worldwide populations of the invasive weed Centaurea solstitialis L. (Asteraceae),"Eriksen Renee L; Hierro, Jose L; Eren, Ozkan; Andonian Krikor; Torok, Katalin; Becerra, Pablo I; Montesinos, Daniel; Khetsuriani Liana; Diaconu Alecu; Kesseli Rick",Plos One,2014,9,12,,e114786,,10.1371/journal.pone.0114786,4,,,,"Argentina, Chile, USA, Spain, Turkey, Republic of Georgia, Armenia, Romania, Hungary, Uzbekistan","North America, South America, Europe, Asia",,,University of Massachusetts Boston,,,,,,common greenhouse,manipulative,ex situ,"leaf tissue sampling, DNA isolation, EST-SSR (microsatellites), DNA fingerprinting, calculate allele richness, score private alleles, examine linkage disequilibrium",invasion pathways,population structure ,"Great heterogenity for gene diversity, allelic richness and private allele values among populations in Eurasia. Populations from the Eastern Mediterranean region particularly the populations in Turkey had the highest levels of gene diversity, highest rarified allelic richness and along with Armenia the highest number of private alleles. In contrast to these, there was low allelic diversity and few private alleles in populations from Spain, Hungary and Uzbekistan. ",2 replicate simulations ,n,
24,Orientation behavior of predaceous ground beetle species in response to volatile emissions identified from yellow starthistle damaged by an invasive slug,"Oster, Marina; Smith, Lincoln, Beck, John J; Howard, Abigail; Field, Christopher B",Arthropod Plant Interactions,2014,8,5,,429,437,10.1007/s11829-014-9322-3,4,,,,USA,North America,,,Stanford University,,,,,,laboratory/greenhouse,manipulative,ex situ,"recording beetle behaviour, plant measurments, volatile collection after herbivory, volatile identification (gas chromatograph)",indirect chemical defense,interactions,"No volatiles were detected from undamaged leaves. In the olfactometry assay, P. melanarius showed a significant preference for the ode of slug damaged YST, while S. interruptus did not. Volatile analysis of the odor attracting P. melanarius showed to be comprised of four identified sesquiterpene compounds. Unlike S interruptus, P. melanarius responded to volatile stimuli from slug damaged YST. P. melanarius, D. reticulatum and C. solstitialis originated from Europe, whereas S. interruptus is native to North America. ",33 and 73 for beetles ,y,"leaf area eaten, leaf volatile "
25,Using filter-based community assembly models to improve restoration outcomes,"Hulvey, Kristin B; Aigner, Paul A",Journal of Applied Ecology,2014,51,4,,997,1005,10.1111/1365-2664.12275,6,,,,USA,North America,37¡18«44.19«« N,122¡10«36.94««W,"Skyline Ridge open space preserve, California",,,,,,annual grasslands,manipulative,in situ,"counting, recording, measurments",filter models,"competition, restoration ","The addition of native species with phenological and morphological traits similar to the target invader reduced invasion and increased native populations but only in litter free plots when high densities of native seed were added. Seeding two species with functional traits similar to the invader was more effective for achieving restoration goals than seeding just one functionally similar species. Litter removal altered native invader interactions. When litter was left on the plots, added natives did not reduce invader cover. However, when litter was removed, added natives led to declines in invader cover. ",5,n,
26,"Growth and phenology of Dittrichia graveolens, a rapidly spreading invasive plant in California","Brownsey, Rachel N; Kyser, Guy B; Ditomaso, Joseph M",Biological Invasions,2014,16,1,,43,52,10.1007/s10530-013-0501-4,1,,,focal species Dittrichia graveolens,USA,North America,4265550.46ÊmÊN,606780.42ÊmÊE,Research agriculture field at UC Davis,,,,,,agricultural,manipulative,in situ,"collection, minirhizotron tubes and camera, measurements, harvesting",invasive potential,,Roots of C. solstitialis and H. virgata reached[1m earlier in the season. ,,y,"root, canopy, plant height, bolting time, flowering time"
27,"Impacts of mowing and bud destruction on Centaurea solstitialis growth, flowering, root dynamics and soil moisture","Spencer, DF; Enloe SF; Pitcairn MI; Ditomaso JM",Weed Research,2013,54,2,,140,150,10.1111/wre.12058 ,1,,,,USA,North America,,,"University of California, Davis A station",,,,,,outdoor pots,manipulative,ex situ,"collection, minirhizotron tubes, video camera, picture record, measurments, counting, harvesting, dissesction, drying, weighting, gravimetric soil moisture",mowing and bud damage impact,weed management,Mowing C. solstitialis plants three times at approximate 1 month intervals produced shorter plants that weighed less. Mowed C. solstitialis had fewer capitula per plant. Mowed plants were associated with higher soil moisture values during the period when the mowing occurred. ,4,y,"root, capitula, seeds, plant height, final biomass"
28,Exotic plant invasions under enhanced rainfall are constrained by soil nutrients and competition,Ecology,"Eskelinen, Anu; Harrison, Susan",2014,95,3,,682,692,10.1890/13-0288.1,22,,,,USA,North America,38.851N,123.830W,"Donald and Sylvia McLaughlin University of California Natural Reserve, California",University of California ,,,,,greenhouse /grasslands ,manipulative,in situ/ex situ,"collection, visual observations, soil moisture probe, counting, harvesting, drying, weighting",rainfall enhancement ,invasibility,"Water addition did not benefit Centaurea in the most infertile habitat, harsh serpentine grassland, whereas it caused higher vegetative and reproductive biomassess in two more productive habitats. Even in the more fertile habitats, Centaurea responded relatively weakly to precipitation enhancement, except when amended by nutrients and when competitors where removed. ",10-12,y,"stem, leaf and seed  biomass,  seed head number "
29,"Pollinator interactions with yellow starthistle (Centaurea solstitialis) across urban, agricultural and natural landscapes",Plos One,"Leong, Misha; Kremen, Claire; Roderick, George K",2014,9,1,,e86357,,10.1371/journal.pone.0086357,8,,,,USA,North America,,,"around Brentwood, East Contra Costa county, California",,,,,,grasslands and oak woodlands/agricultural/urban,observational,in situ,"count number of flowering blooms and seed set, observe and record bee visitation, pollination manipullation, pocket weather meter (measure wind and temperature), seed heads dissections, identify seed predators ",interactions,land use change and plant pollinators ,"Bee visitation in human-altered landscapes can be higher than that in comparable natural areas, especially towards the end of the flowering season when there are few resources available in natural landscapes. In contrast, seed set rates in these human-altered landscapes were lower than in natural sites.",,y,seed
30,Biocontrol attack increases pollen limitation under some circumstances in the invasive plant Centaurea solstitialis,Oecologia,"Swope, Sarah M",2014,174,1,,205,215,10.1007/s00442-013-2750-4,1,,,,USA,North America,37¡51_N,121¡55_W,"Mt Diablo State Park, California",,,,,,mediterranean ,manipulative,in situ,"plant survey, inflorescence collection, measure soil moisture, measure delta Carbon 13 in leaf, pollen addition, inflorescence dissection",interactions,biocontrol ,Plants growing on north-facing slopes where soil moisture was higher experienced mild pollen limitation in the absence of the pathogen and more pronounced pollen limitation when they were infected. Plants on drier south-facing slopes did not suffer from pollen limitation but instead appeared to suffer from resource limitation. Pathogen infection directly reduced seed set in C. solstitialis by 67Ð72 %. ,,y,"inflorescence, seed set"
31,Invasive and non invasive congeners show similar trait shifts between their same native and non native ranges ,Plos One,"Garcia, Yedra; Callaway, Ragan M; Diaconu, Alecu; Montesinos, Daniel",2013,8,12,,e82281,,10.1371/journal.pone.0082281,6,,,,"Spain, USA","Europe, North America",,,"University of Montana, Missoula",,,,,,common garden greenhouse experiment,manipulative,ex situ,"trait measurment, plant harvesting, drying and weighting",trait shifts,local adaptation,"For all three species plants from populations in nonnative ranges were (i) larger and (ii) produced seeds that germinated at higher rates. Centaurea solstitialis was the only species for which plants from the nonnative range increased allocation to defensive spines, and allocated proportionally less resources to reproduction, patterns contrary to what would be predicted by theory and other empirical studies to enhance invasion.",,y,"germination rate, rosette diameter, number of capitula, spine length, biomass, seed-set"
32,"Integration of prescribed burning, aminopyralid and reseeding for restoration of yellow starthistle (Centaurea solstitialis) infested rangeland ","Kyser, Guy B; Hazebrook, A; Ditomaso, Joseph M",Invasive Plant Science and Mangement ,2013,6,4,,480,491,10.1614/IPSM-D-12-00094.1,2,,,,USA,North America,,,"Mission site (36.05N, 121.25W), Monterey","Back site (36.08N, 121.26W), Monterey",,,,,grasslands within mixed oak foothill pine woodland,manipulative,in situ,visually estimation of species cover,weed management,native plant restoration,"Aminopyralid provided complete to nearly complete control of yellow starthistle when applied between January and March, and this level of control was maintained for two seasons. Native plants failed to establish when broadcast seeded, regardless of the timing. December and January drill seeding timings were the most successful in establishing native species. There was a strong herbicide and drill seed timing interaction effect on native grass cover at both study sites. Over the course of the study the native perennial grass Stipa cernua was the most successful seeded species to establish, but establishment was slow and required 3 yr.",3,n,
33,Effect of mechanical damage on emission of volatile organic compounds from plant leaves and implications for evaluation of host specificity of prospective biological control agents of weeds,"Smith, Lincoln; Beck, John L",Biocontrol Science and Technology,2013,23,8,,880,907,10.1080/09583157.2013.807908,9,,,,USA,North America,,,"USDA-ARS, Albany",,,,,,"pots grown outdoor, tested indoor",manipulative,ex situ,"leaf vollatile collection, GC-MS analysis, volatile compound identification ",volatile organic compounds profile,host plant specificity and recognition,"More VOCs were detected from damaged than from undamaged leaves for all three species tested. Discriminant analysis was able to correctly distinguish the taxonomic identity of all plants based on their VOC profiles; however, the VOCs that discriminated species among undamaged leaves were completely different from those that discriminated among damaged leaves. Thus, damaged and undamaged plants present different VOC profiles to insects, which should be considered when conducting host plant specificity experiments. An unacceptable non-target plant, Centaurea cineraria, emitted all except one of the VOCs that were emitted by its preferred host plant, Centaurea solstitialis, indicating the importance of compounds that are repellant in host plant specificity",2-4,y,leaf volatiles 
34,Non native conditions favor non native populations of invasive plant: demographic consequences of seed size variation?,"Hierro Jose L; Ozkan, Eren; Villareal, Diego; Chiuffo, Mariana C",Oikos,2013,122,4,,583,590,10.1111/j.1600-0706.2012.00022.x,10,,,,"Argentina, Turkey ","Eurasia, South America",,,"La Mercedes Ranch (36¡40_32.8_S, 64¡38_37.6_W), La Pampa","Campus of the Adnan Menderes University, Aydin (37¡51_06.6_N, 27¡51_26.6_E)",,,,,reciprocal common garden experiment/natural grasslands ,manipulative,in situ,"survey, plant measurments, document herbivory, seed weighting",trait differences ,seed size variation and invasibility,"Seed mass was two times larger for Argentinian then Turkish populations. Density, plant size and final establishemnt were lso greater for plants from Argentinian than from Turkish populations, but only in the common garden in Argentina, In Turkey, no differences between population origins were detected for these variables. Herbiovory was similar for popuylations from both origins in both common gardens. As expected, disturbance increased plant performance in both regions. ",3,y,"seed,  plant size"
35,"Field release of a prospective biological control agent of weeds, Ceratapion basicorne, to evaluate potential risk to a nontarget crop","Cristofaro, M; De Biase A; Smith L",Biological Control,2013,64,3,,305,314,10.1016/j.biocontrol.2012.11.001,4,,,,"Italy, USA","North America, Europe",40.042 N,12.298 E,Campus of Enea,,,,,,field garden,manipulative,in situ,"collection, measurments, harvesting, dissections under stereomicroscope, record location and type of damage in the root, weevil morphological identification, total genomic DNA extraction, genetic analysis (amplify and sequence the coxI region to distinguish between different insect species)",plant-host specificity,risk assessment ,"Ceratapion basicorne infested 54% of the yellow starthistle plants and 0% of 1021 safflower plants. A different weevil, Ceratapion orientale, infested 1.5% of the safflower plants. The combined results of nine experiemnts (different studies) provide a point estimate that the probability of attack is less than 0.00059, with 99.9% confidence that it is less than 0.0045. ",,y,"plant stem height, basal stem diameter"
36,Allele identification for transcriptome based population genomics in the invasive plant Centaurea solstitialis ,"Dlugosch Katrina M; Lai, Zhao; Bonin, Aurelie; Hierro, Jose; Rieseberg Loren H",G3/Genes/Genomes/Genetics,2013,3,2,,359,367,10.1534/g3.112.003871,14,,,,"Argentina, USA, Spain, Hungary, Romania, Turkey, Republic of Georgia","North America, South America, Europe, Eurasia",,,"University of Arizona, Tucson",,,,,,greenhouse,manipulative,ex situ,"collection, RNA extraction, cDNA library preparation, transcriptome analysis, gene annotation",allelic variation ,transcriptome ,"Across all inferred SNP positions, invaders had signiÞcantly greater heterozygosity than natives and a greater variance around predicted values based on sequencing effort.",,n,
